dataset,original_variable_name,cleaned_variable_name,data_type,observed_values_range,confirmed_meaning,confirmed_unit,unit_known_or_unknown,missing_value_treatment,is_safe_for_analysis,analytical_restrictions,source_evidence,unresolved_questions
Oil Production Statistics,country_name,NA (raw only),character,"36 unique countries (e.g. Australia, Canada, Saudi Arabia, United States)",Name of the reporting country or territory,Unitless,Unitless,0 missing (0.00%),Conditional,Safe for filtering/stratification. Unsafe for cross-country aggregation due to key conflicts in other dimensions.,data/raw/oil_production_statistics.csv; outputs/results/oil_data_audit_summary.csv,Latin-1 encoding required for reading; political/territorial boundaries not explicitly defined.
Oil Production Statistics,type,NA (raw only),character,"Constant value: 'Balance' (2,376 rows = 100%)",Reporting balance category / classification type,Unitless,Unitless,0 missing (0.00%),NO,Non-informative constant metadata field in this extract. Do not use as an analytical variable.,outputs/results/oil_data_audit_summary.csv,Origin and full definition of 'Balance' type are undocumented in the raw file.
Oil Production Statistics,product,NA (raw only),character,"11 unique categories (Crude oil, Gasoline and diesel, Liquified Petroleum Gas, Middle distillates, Naphtha, Other oil products, Residual fuel oil, Total gas oil production, Total kerosene production, Total oil production, Total oil products production)",Petroleum product or aggregate category,Unitless,Unitless,0 missing (0.00%),Conditional,Do NOT sum across products: aggregate categories (e.g. 'Total oil production') overlap with sub-products (e.g. 'Crude oil').,data/raw/oil_production_statistics.csv; R/01_oil_data_audit.R,Hierarchy and aggregation rules between sub-products and 'Total' products are undocumented.
Oil Production Statistics,flow,NA (raw only),character,"4 categories: 'Consumption Pattern' (864), 'Industrial Production' (144), 'Net Deliveries' (1,152), 'Storage Channelization' (216)",Supply chain flow or statistical balance flow category,Unitless,Unitless,0 missing (0.00%),Conditional,Do NOT sum across flows: distinct accounting flows with incompatible physical interpretations.,data/raw/oil_production_statistics.csv; R/01_oil_data_audit.R,Definitions of 'Storage Channelization' and 'Consumption Pattern' are not provided in source metadata.
Oil Production Statistics,year,NA (raw only),integer,"2021 (1,080 rows), 2022 (540 rows), 2023 (756 rows)",Calendar year of the reported statistical observation,Year,Known,0 missing (0.00%),Conditional,Year 2021 contains 540 repeated keys and 496 conflicting values; do not compute 2021-2022 changes or totals.,outputs/results/oil_2021_anomalies.csv; outputs/results/oil_duplicate_key_audit.csv,Cause of excessive row counts and duplicate keys in 2021 is unknown.
Oil Production Statistics,value,NA (raw only),numeric,"Range: -2,442.00 to 790,672.41 (Median: 462.11, Mean: 6,298.35, 82 negative, 223 zero)",Reported quantitative flow value,Unknown,Unknown,0 missing (0.00%); 82 negative values and 223 zeros preserved as reported,NO,"UNSAFE for totals, sums, rankings, or econometric modeling. 496 conflicting keys give divergent values for identical keys.",outputs/results/oil_conflicting_keys.csv; outputs/results/oil_data_audit_summary.csv,"Measurement unit (thousand barrels, kilotonnes, TJ, USD?) is completely unspecified; meaning of negative values is unknown."
Container Transport,REF_AREA,ref_area,character,"49 unique codes (e.g. AUS, CAN, DEU, USA, WLD)",ISO 3-letter or statistical country/area reference code,Unitless (Code),Unitless,0 missing (0.00%),YES,Primary geographic identifier. Safe for filtering and grouping.,data/processed/container_transport_clean.csv; R/05_clean_container_transport.R,None.
Container Transport,Reference area,reference_area,character,"49 unique names (e.g. Australia, Canada, Germany, United States, World)",Full human-readable country/reference area name,Unitless (Label),Unitless,0 missing (0.00%),YES,Display label corresponding 1:1 with ref_area.,data/processed/container_transport_clean.csv,None.
Container Transport,UNIT_MEASURE,unit_measure,character,"2 categories: 'T' (319 rows), 'TEU' (305 rows)","Measurement unit code ('T' = Tonnes, 'TEU' = Twenty-foot Equivalent Units)",Unitless (Code),Unitless,0 missing (0.00%),YES,CRITICAL: Must ALWAYS segregate analysis by unit_measure. NEVER sum or compare T and TEU directly.,outputs/results/container_cleaning_summary.csv; R/05_clean_container_transport.R,None.
Container Transport,Unit of measure,unit_of_measure,character,"2 categories: 'Tonnes' (319 rows), 'Twenty-foot equivalent units' (305 rows)",Full name of measurement unit,Unitless (Label),Unitless,0 missing (0.00%),YES,Display label corresponding 1:1 with unit_measure.,data/processed/container_transport_clean.csv,None.
